date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:50	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:56:04%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/d0a5b627ad89.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/d0a5b627ad89.jpg	(from https://www.classcentral.com/subject/sociology)
06:56:59	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:56:13%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/543e602a153e.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/543e602a153e.jpg	(from https://www.classcentral.com/subject/sociology)
06:57:15	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:56:30%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/683909e3d63c.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/683909e3d63c.jpg	(from https://www.classcentral.com/subject/sociology)
06:57:21	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:56:35%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/21a5604ba39f.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/21a5604ba39f.jpg	(from https://www.classcentral.com/subject/political-science)
06:57:37	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:56:51%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e7380888c265.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/e7380888c265.png	(from https://www.classcentral.com/subject/political-science)
06:57:46	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:57:00%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/caadde7ac5fd.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/caadde7ac5fd.jpg	(from https://www.classcentral.com/subject/political-science)
06:58:03	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:57:18%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0c22ebe6a3f6.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0c22ebe6a3f6.jpg	(from https://www.classcentral.com/subject/political-science)
06:58:08	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:57:22%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ef053313773f.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ef053313773f.jpg	(from https://www.classcentral.com/subject/political-science)
06:58:08	990/990	URF---	200	added ('OK%20(cached)')	image/png		https://secure.gravatar.com/avatar/779bdf436a85c90480abf241caeb48c4?s=35&d=mm&r=g	/home/winmorre/Desktop/all_code/central/secure.gravatar.com/avatar/779bdf436a85c90480abf241caeb48c4e843.png	(from https://www.classcentral.com/report/best-free-online-courses-2022/)
06:58:33	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:57:48%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/786d25bd9c72.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/786d25bd9c72.png	(from https://www.classcentral.com/subject/political-science)
06:58:50	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:58:04%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/13a1b78be14b.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/13a1b78be14b.png	(from https://www.classcentral.com/subject/political-science)
06:58:54	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:58:09%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/61f725653ad9.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/61f725653ad9.png	(from https://www.classcentral.com/subject/political-science)
06:58:56	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:58:10%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ffd4c4374e29.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/ffd4c4374e29.jpg	(from https://www.classcentral.com/subject/human-rights)
06:59:04	990/990	URF---	200	added ('OK%20(cached)')	image/png		https://secure.gravatar.com/avatar/5b61115fa66d3adf35cbd1a3233cf657?s=35&d=mm&r=g	/home/winmorre/Desktop/all_code/central/secure.gravatar.com/avatar/5b61115fa66d3adf35cbd1a3233cf657e843.png	(from https://www.classcentral.com/report/best-free-online-courses-2021/)
06:59:36	3101/3101	URF---	200	added ('OK%20(cached)')	image/png		https://secure.gravatar.com/avatar/15682febff729f76996b6bc3114692cb?s=35&d=mm&r=g	/home/winmorre/Desktop/all_code/central/secure.gravatar.com/avatar/15682febff729f76996b6bc3114692cbe843.png	(from https://www.classcentral.com/report/most-popular-courses-2022/)
06:59:37	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:58:51%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/cc049ad71039.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/cc049ad71039.jpg	(from https://www.classcentral.com/subject/human-rights)
06:59:41	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:58:55%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/1f1b22c6826b.jpeg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/1f1b22c6826b.jpg	(from https://www.classcentral.com/subject/human-rights)
06:59:43	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:58:57%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0bed5f7b9dec.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0bed5f7b9dec.png	(from https://www.classcentral.com/subject/human-rights)
07:00:08	1451/1451	URF---	200	added ('OK%20(cached)')	image/jpeg		https://secure.gravatar.com/avatar/088da8e6500bdba6c8cc633c2ca1147b?s=35&d=mm&r=g	/home/winmorre/Desktop/all_code/central/secure.gravatar.com/avatar/088da8e6500bdba6c8cc633c2ca1147be843.jpeg	(from https://www.classcentral.com/report/100-most-popular-online-courses-2021/)
07:00:23	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:59:38%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/abfbd4fc434f.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/abfbd4fc434f.jpg	(from https://www.classcentral.com/subject/human-rights)
07:00:27	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:59:42%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a5c41b5f1742.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/a5c41b5f1742.png	(from https://www.classcentral.com/subject/human-rights)
07:00:29	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2006:59:44%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/c7260418b50c.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/c7260418b50c.png	(from https://www.classcentral.com/subject/human-rights)
07:00:55	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:00:09%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/fc41d1ba9559.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/fc41d1ba9559.jpg	(from https://www.classcentral.com/subject/human-rights)
07:01:10	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:00:24%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/5416db0e97bf.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/5416db0e97bf.png	(from https://www.classcentral.com/subject/human-rights)
07:01:14	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:00:28%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bf33b502914d.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/bf33b502914d.jpg	(from https://www.classcentral.com/subject/human-rights)
07:01:16	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:00:31%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0797ef3af7ba.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0797ef3af7ba.png	(from https://www.classcentral.com/subject/human-rights)
07:01:41	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:00:56%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/2db947b48be1.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/2db947b48be1.png	(from https://www.classcentral.com/subject/human-rights)
07:01:57	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:01:11%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/64b03b9540c9.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/64b03b9540c9.png	(from https://www.classcentral.com/subject/human-rights)
07:02:01	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:01:15%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/f612e6a91a33.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/f612e6a91a33.jpg	(from https://www.classcentral.com/subject/human-rights)
07:02:04	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:01:19%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/d1301f75b69a.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/d1301f75b69a.jpg	(from https://www.classcentral.com/subject/archaeology)
07:02:28	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:01:42%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/32530d0f0e20.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/32530d0f0e20.jpg	(from https://www.classcentral.com/subject/archaeology)
07:02:43	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:01:58%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/00eabf03d66d.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/00eabf03d66d.png	(from https://www.classcentral.com/subject/archaeology)
07:02:48	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:02:02%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8479ae7b74b4.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8479ae7b74b4.jpg	(from https://www.classcentral.com/subject/archaeology)
07:02:51	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:02:05%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/afcb8c2108cb.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/afcb8c2108cb.jpg	(from https://www.classcentral.com/subject/archaeology)
07:03:15	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:02:29%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/31d5f4091fd4.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/31d5f4091fd4.jpg	(from https://www.classcentral.com/subject/archaeology)
07:03:31	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:02:46%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8b5c1d734e30.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8b5c1d734e30.jpg	(from https://www.classcentral.com/subject/archaeology)
07:03:35	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:02:49%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/18add343fd66.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/18add343fd66.jpg	(from https://www.classcentral.com/subject/archaeology)
07:03:38	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:02:52%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8919d30db43c.jpg	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8919d30db43c.jpg	(from https://www.classcentral.com/subject/archaeology)
07:04:02	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2004%20Feb%202023%2007:03:16%20GMT	https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/916403673d62.png	/home/winmorre/Desktop/all_code/central/d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/916403673d62.png	(from https://www.classcentral.com/subject/archaeology)
